"AAPL","VOXX","UEIC","IRBT","LPL","TXN","NVDA","INTC","QCOM","AMD","MU","TSM","TECH","ALXN","VRTX","REGN","NVAX","GOOGL","SSTK","FB","ZG","MTCH","ANGI","JNJ","PFE","AZN","BIIB","NVS","MRK","HZNP"
51.311405,4.4,45.150002,61.810001,5.78,118.594147,166.94548,45.422287,74.298256,31.450001,45.27,40.788902,189.832764,100.760002,180.020004,290.049988,5.97,1190.530029,34.50832,185.669998,34.169998,72.712738,7.76,122.416573,31.455067,42.510483,219.75,83.599899,81.968491,27.629999
55.264339,4.7,50.900002,61.669998,5.95,123.855423,173.655121,49.702877,72.874763,28.99,42.849998,44.472633,194.218872,97.940002,169.419998,277.399994,5.02,1221.140015,35.501015,178.080002,29.549999,62.241577,7.09,124.313942,32.088718,42.511795,232.820007,80.621811,79.797699,27.23
61.381241,4.85,52.119999,48.060001,5.86,113.07412,200.540878,54.525593,77.459213,33.93,47.549999,49.755932,206.626175,105.400002,195.479996,306.279999,4.17,1258.800049,39.884583,191.649994,32.389999,64.891495,6.85,126.869774,34.267857,46.765835,298.709991,81.122795,82.694557,28.91
65.943619,4.64,55.599998,43.560001,6.23,116.070068,216.223419,55.991699,80.453964,39.150002,47.509998,51.162933,216.631409,113.940002,221.75,369,4.85,1304.089966,40.867443,201.639999,39.060001,63.592232,7.75,132.1064,34.401817,46.241234,299.809998,85.631683,83.19075,32.779999
72.675339,4.38,52.259998,50.630001,6.94,123.871796,234.912384,58.045586,84.960541,45.860001,53.779999,55.991077,218.22403,108.150002,218.949997,375.480011,3.98,1339.390015,42.145168,205.25,45.740002,71.133636,8.47,141.129303,35.329433,47.55751,296.730011,87.849007,86.788223,36.200001
76.600517,4.3,49.529999,47.049999,6.26,116.494919,236.040497,62.002583,82.785721,47,53.09,52.345219,208.73996,99.389999,227.050003,337.940002,7.62,1432.780029,42.587452,201.910004,46.200001,69.557396,8.03,144.031799,33.580097,46.451073,268.850006,87.682022,82.089424,34.490002
67.653778,3.71,42.220001,47.990002,5.8,111.005226,269.625092,53.846134,75.983147,45.48,52.560001,52.24818,187.783447,94.029999,224.029999,444.570007,16,1339.25,37.879539,192.470001,55.669998,58.235294,7.13,130.109482,30.443357,41.777355,308.390015,77.894211,73.557655,34.220001
63.083504,2.85,38.369999,40.900002,4.44,97.185493,263.323181,52.746826,65.64827,45.48,42.060001,46.377048,188.803192,89.790001,237.949997,488.290009,13.58,1161.949951,31.608875,166.800003,33.970001,51.179325,5.25,127.677345,29.732828,43.465675,316.380005,76.493301,73.92276,29.620001
72.885025,4.74,41.279999,60.959999,4.5,112.882225,291.973053,58.458145,76.949478,52.389999,47.889999,52.048336,224.030807,107.470001,251.199997,525.880005,18.129999,1346.699951,37.518158,204.710007,43.540001,63.814964,6.78,146.089432,34.943359,50.881893,296.829987,81.461182,76.858376,36.040001
78.873604,4.77,45.240002,73.720001,4.24,115.478889,354.647156,61.333294,79.111145,53.799999,47.91,49.305336,263.659332,119.900002,287.959991,612.809998,46.040001,1433.52002,37.439167,225.089996,57.959999,77.204453,10.85,144.83342,34.788506,53.139851,307.089996,84.057014,78.195206,50.73
